from_state,to_state,count
S_M_PAS,S_M_REC,11
P_A_REC,S_D_PER,10
P_D_PER,P_A_PER,10
P_D_REC,S_M_REC,10
P_M_PER,S_A_PAS,10
S_D_PAS,P_M_PAS,10
S_D_PER,S_A_REC,10
P_A_REC,P_A_REC,9
P_M_PAS,S_M_PER,9
P_M_REC,S_D_REC,9
P_A_FIN,P_M_REC,8
P_A_REC,P_A_PER,8
P_A_REC,S_D_PAS,8
P_D_PAS,S_A_PER,8
P_D_PAS,S_A_REC,8
P_M_PAS,P_A_REC,8
S_M_PAS,P_M_PER,8
S_M_PER,S_D_REC,8
P_A_FIN,P_M_PAS,7
P_A_FIN,P_M_PER,7
S_D_PAS,P_A_PER,7
S_M_PAS,P_D_REC,7
S_M_PAS,S_A_REC,7
S_M_PER,P_A_PER,7
S_A_FIN,S_M_PAS,6
S_D_REC,S_M_PAS,6
P_A_PAS,S_D_PER,5
P_A_PER,S_M_PER,5
P_A_REC,P_M_PAS,5
P_D_PAS,S_M_REC,5
P_M_PER,P_D_PAS,5
P_M_REC,S_D_PAS,5
S_A_FIN,S_M_REC,5
S_A_PER,S_A_FIN,5
S_A_REC,S_M_REC,5
S_D_PAS,S_D_REC,5
S_D_REC,P_M_PER,5
P_A_FIN,P_A_FIN,4
P_D_PAS,P_A_FIN,4
P_D_REC,P_M_PAS,4
P_D_REC,P_M_REC,4
P_M_PAS,S_D_PER,4
P_M_REC,P_A_REC,4
S_A_FIN,P_M_REC,4
S_A_PAS,S_M_REC,4
S_D_PAS,P_M_REC,4
P_A_FIN,S_M_PER,3
P_A_FIN,S_M_REC,3
P_A_PAS,P_M_REC,3
P_A_PER,P_A_FIN,3
P_D_PAS,S_M_PER,3
P_M_PER,S_A_PER,3
P_M_REC,P_D_REC,3
S_A_PER,S_D_REC,3
S_A_REC,S_A_REC,3
S_D_PER,S_A_PER,3
S_D_REC,S_M_REC,3
S_M_PAS,P_D_PER,3
S_M_REC,P_A_PAS,3
S_M_REC,P_D_PAS,3
S_M_REC,P_D_REC,3
S_M_REC,S_A_REC,3
S_M_REC,S_D_PAS,3
S_M_REC,S_D_REC,3
P_A_PER,P_D_PAS,2
P_A_REC,P_M_PER,2
P_A_REC,P_M_REC,2
P_A_REC,S_M_PAS,2
P_D_PAS,P_D_REC,2
P_D_REC,S_M_PER,2
P_M_REC,P_A_PAS,2
P_M_REC,P_D_PAS,2
P_M_REC,S_D_PER,2
S_A_FIN,S_A_FIN,2
S_A_PAS,P_M_PAS,2
S_A_PER,S_D_PAS,2
S_A_REC,P_M_PAS,2
S_A_REC,S_A_PER,2
S_D_PAS,P_M_PER,2
S_M_FIN,P_D_PER,2
S_M_PAS,S_D_REC,2
S_M_PER,S_D_PER,2
S_M_REC,P_A_REC,2
S_M_REC,S_A_PAS,2
P_A_PAS,P_D_PAS,1
P_A_PAS,P_D_PER,1
P_A_PAS,S_M_REC,1
P_A_PER,P_D_REC,1
P_A_REC,P_D_REC,1
P_A_REC,S_M_REC,1
P_D_PAS,P_M_REC,1
P_D_PAS,S_A_FIN,1
P_D_REC,P_M_PER,1
P_M_PAS,P_D_REC,1
P_M_PAS,S_A_PAS,1
P_M_PAS,S_A_PER,1
P_M_PAS,S_A_REC,1
P_M_PER,P_D_PER,1
P_M_REC,P_A_PER,1
P_M_REC,S_A_PAS,1
P_M_REC,S_A_PER,1
P_M_REC,S_A_REC,1
S_A_FIN,S_M_PER,1
S_A_PAS,P_M_PER,1
S_A_PAS,P_M_REC,1
S_A_PAS,S_M_FIN,1
S_A_REC,P_M_PER,1
S_A_REC,P_M_REC,1
S_A_REC,S_D_PAS,1
S_A_REC,S_M_PAS,1
S_A_REC,S_M_PER,1
S_D_PAS,P_D_REC,1
S_D_PAS,S_A_FIN,1
S_D_PAS,S_M_FIN,1
S_D_PAS,S_M_REC,1
S_M_PAS,P_A_PAS,1
S_M_PAS,P_A_REC,1
S_M_REC,P_A_PER,1
S_M_REC,P_D_PER,1
S_M_REC,S_A_PER,1
